order_id,order_date,customer_id,province,city,category,product_name,quantity,unit_price,discount,payment_method,order_status,customer_review
OD202500001,2025-11-24,C1014,浙江,杭州,食品,速溶咖啡,2.0,141.79,0.0,货到付款,已完成,评价返现
OD202500002,2025-08-05,C1004,浙江,杭州,数码,机械键盘,2.0,463.71,0.0,货到付款,已取消,？？？
OD202500003,2025-08-03,C1028,湖北,武汉,美妆,洗面奶,1.0,686.75,0.0,信用卡,待发货,和描述基本一致
OD202500004,2025-03-21,C1027,广东,深圳,数码,蓝牙耳机,4.0,104.11,0.3,银行卡,退货中,和描述基本一致
OD202500005,2025-01-23,C1093,湖北,武汉,美妆,口红,4.0,88.34,0.05,货到付款,待发货,评价返现
OD202500006,2025-04-09,C1090,浙江,宁波,数码,机械键盘,2.0,885.99,0.3,微信支付,已完成,包装破损
OD202500007,2025-05-23,C1058,广东,深圳,服装,运动鞋,3.0,203.37,0.05,支付宝,退货中,还可以
OD202500008,2025-10-01,C1093,上海,上海,服装,卫衣,4.0,256.55,0.2,货到付款,已取消,质量差，不推荐
OD202500009,2025-01-29,C1029,浙江,杭州,食品,牛肉干,2.0,77.25,0.15,银行卡,已取消,11111
OD202500010,2025-07-22,C1082,湖北,武汉,服装,运动鞋,1.0,236.03,0.15,货到付款,待发货,评价返现
OD202500011,2025-08-08,C1074,四川,成都,食品,速溶咖啡,1.0,467.38,0.0,支付宝,已完成,东西很好用
OD202500012,2025-11-18,C1020,四川,成都,美妆,口红,4.0,354.82,0.1,货到付款,待发货,？？？
OD202500013,2025-01-06,C1087,浙江,宁波,美妆,洗面奶,3.0,117.17,0.1,微信支付,,质量很好，下次还会买
OD202500014,2025-05-15,C1064,江苏,南京,美妆,口红,2.0,759.67,0.15,货到付款,已取消,东西很好用
OD202500015,2025-07-11,C1097,江苏,南京,美妆,香水,1.0,546.07,0.1,支付宝,已完成,发货太慢了
OD202500016,2025-06-07,C1030,浙江,杭州,服装,防晒衣,1.0,94.38,0.1,支付宝,退货中,东西很好用
