原表行号,订单ID,下单日期,客户ID,省份,城市,商品类别,商品名称,数量,单价,折扣,支付方式,订单状态,客户评价,订单ID出现次数,下单日期_标准化,日期异常类型,客户ID_标准化,省份_标准化,城市_标准化,客户地区异常类型,商品类别_标准化,商品类别异常类型,数量_标准化,数量异常类型,单价_标准化,单价异常类型,折扣_标准化,折扣异常类型,支付方式_标准化,支付方式异常类型,订单状态_标准化,订单状态异常类型,销售额
2,OD202500001,45985,C1014,浙江,杭州,食品,速溶咖啡,2.0,141.79,0,货到付款,已完成,评价返现,1,2025-11-24,,C1014,浙江,杭州,,食品,,2.0,,141.79,,0.0,,货到付款,,已完成,,283.58
3,OD202500002,45874,C1004,浙江,杭州,数码,机械键盘,2.0,463.71,0,货到付款,已取消,？？？,1,2025-08-05,,C1004,浙江,杭州,,数码,,2.0,,463.71,,0.0,,货到付款,,已取消,,927.42
4,OD202500003,45872,C1028,湖北,武汉,美妆,洗面奶,1.0,686.75,0,信用卡,待发货,和描述基本一致,1,2025-08-03,,C1028,湖北,武汉,,美妆,,1.0,,686.75,,0.0,,信用卡,,待发货,,686.75
5,OD202500004,45737,C1027,广东,深圳,数码,蓝牙耳机,4.0,104.11,0.3,银行卡,退货中,和描述基本一致,1,2025-03-21,,C1027,广东,深圳,,数码,,4.0,,104.11,,0.3,,银行卡,,退货中,,291.508
6,OD202500005,45680,C1093,湖北,武汉,美妆,口红,4.0,88.34,0.05,货到付款,待发货,评价返现,1,2025-01-23,,C1093,湖北,武汉,,美妆,,4.0,,88.34,,0.05,,货到付款,,待发货,,335.692
7,OD202500006,45756,C1090,浙江,宁波,数码,机械键盘,2.0,885.99,0.3,微信,已完成,包装破损,1,2025-04-09,,C1090,浙江,宁波,,数码,,2.0,,885.99,,0.3,,微信支付,,已完成,,1240.386
8,OD202500007,45800,C1058,广东,深圳,服装,运动鞋,3.0,203.37,0.05,支付宝,退货中,还可以,1,2025-05-23,,C1058,广东,深圳,,服装,,3.0,,203.37,,0.05,,支付宝,,退货中,,579.6045
9,OD202500008,45931,C1093,上海,上海,服装,卫衣,4.0,256.55,0.2,货到付款,已取消,质量差，不推荐,1,2025-10-01,,C1093,上海,上海,,服装,,4.0,,256.55,,0.2,,货到付款,,已取消,,820.96
10,OD202500009,45686,C1029,浙江,杭州,食品,牛肉干,2.0,77.25,0.15,银行卡,已取消,11111,1,2025-01-29,,C1029,浙江,杭州,,食品,,2.0,,77.25,,0.15,,银行卡,,已取消,,131.325
11,OD202500010,45860,C1082,湖北,武汉,服装,运动鞋,1.0,236.03,0.15,货到付款,待发货,评价返现,1,2025-07-22,,C1082,湖北,武汉,,服装,,1.0,,236.03,,0.15,,货到付款,,待发货,,200.6255
12,OD202500011,45877,C1074,四川,成都,食品,速溶咖啡,1.0,467.38,0,支付宝,已完成,东西很好用,1,2025-08-08,,C1074,四川,成都,,食品,,1.0,,467.38,,0.0,,支付宝,,已完成,,467.38
13,OD202500012,45979,C1020,四川,成都,美妆,口红,4.0,354.82,0.1,货到付款,待发货,？？？,1,2025-11-18,,C1020,四川,成都,,美妆,,4.0,,354.82,,0.1,,货到付款,,待发货,,1277.352
14,OD202500013,45663,C1087,浙江,宁波,美妆,洗面奶,3.0,117.17,0.1,微信,已退款,质量很好，下次还会买,1,2025-01-06,,C1087,浙江,宁波,,美妆,,3.0,,117.17,,0.1,,微信支付,,,订单状态无法识别,316.359
15,OD202500014,45792,C1064,江苏,南京,美妆,口红,2.0,759.67,0.15,货到付款,已取消,东西很好用,1,2025-05-15,,C1064,江苏,南京,,美妆,,2.0,,759.67,,0.15,,货到付款,,已取消,,1291.4389999999999
16,OD202500015,45849,C1097,江苏,南京,美妆,香水,1.0,546.07,0.1,支付宝,已完成,发货太慢了,1,2025-07-11,,C1097,江苏,南京,,美妆,,1.0,,546.07,,0.1,,支付宝,,已完成,,491.4630000000001
17,OD202500016,45815,C1030,浙江,杭州,服装,防晒衣,1.0,94.38,0.1,支付宝,退货中,东西很好用,1,2025-06-07,,C1030,浙江,杭州,,服装,,1.0,,94.38,,0.1,,支付宝,,退货中,,84.942
18,OD202500017,2025/03/07,C1084,湖北,武汉,美妆,面膜,2.0,483.35,0.15,信用卡,已取消,？？？,1,2025-03-07,,C1084,湖北,武汉,,美妆,,2.0,,483.35,,0.15,,信用卡,,已取消,,821.695
19,OD202500018,46011,C1025,广东,广州,家居,床上四件套,5.0,810.66,0.1,支付宝,已取消,暂时没发现问题,1,2025-12-20,,C1025,广东,广州,,家居,,5.0,,810.66,,0.1,,支付宝,,已取消,,3647.97
20,OD202500019,45690,C1043,浙江,杭州,美妆,香水,2.0,536.83,0,支付宝,已完成,暂时没发现问题,1,2025-02-02,,C1043,浙江,杭州,,美妆,,2.0,,536.83,,0.0,,支付宝,,已完成,,1073.66
21,OD202500020,45692,C1004,广东,深圳,数码,无线鼠标,2.0,264.06,0.1,微信,退货中,东西很好用,1,2025-02-04,,C1004,广东,深圳,,数码,,2.0,,264.06,,0.1,,微信支付,,退货中,,475.308
22,OD202500021,45950,C1073,湖北,武汉,服装,卫衣,4.0,186.56,0,信用卡,待发货,颜色和图片不一样,1,2025-10-20,,C1073,湖北,武汉,,服装,,4.0,,186.56,,0.0,,信用卡,,待发货,,746.24
23,OD202500022,45868,C1059,浙江,杭州,数码,蓝牙耳机,4.0,659.83,0.3,支付宝,已取消,一般般,1,2025-07-30,,C1059,浙江,杭州,,数码,,4.0,,659.83,,0.3,,支付宝,,已取消,,1847.524
24,OD202500023,2025年04月08日,C1068,湖北,武汉,服装,卫衣,1.0,264.12,0,支付宝,已退款,？？？,1,2025-04-08,,C1068,湖北,武汉,,服装,,1.0,,264.12,,0.0,,支付宝,,,订单状态无法识别,264.12
25,OD202500024,45708,C1006,北京,北京,数码,蓝牙耳机,2.0,165.35,0.1,信用卡,已取消,包装破损,1,2025-02-20,,C1006,北京,北京,,数码,,2.0,,165.35,,0.1,,信用卡,,已取消,,297.63
26,OD202500025,45688,C1021,四川,成都,数码,智能手表,2.0,834.34,0.3,信用卡,待发货,颜色和图片不一样,1,2025-01-31,,C1021,四川,成都,,数码,,2.0,,834.34,,0.3,,信用卡,,待发货,,1168.076
27,OD202500026,46014,C1093,北京,北京,家居,台灯,2.0,280.1,0,货到付款,退货中,物流很快，包装完整,1,2025-12-23,,C1093,北京,北京,,家居,,2.0,,280.1,,0.0,,货到付款,,退货中,,560.2
28,OD202500027,45818,C1007,浙江,杭州,美妆,防晒霜,1.0,69.05,15%,支付宝,已取消,性价比不错，推荐,1,2025-06-10,,C1007,浙江,杭州,,美妆,,1.0,,69.05,,0.15,,支付宝,,已取消,,58.692499999999995
29,OD202500028,45962,C1008,上海,上海,家居,收纳盒,2.0,￥528.45,0,货到付款,已完成,颜色和图片不一样,1,2025-11-01,,C1008,上海,上海,,家居,,2.0,,,单价格式错误,0.0,,货到付款,,已完成,,
30,OD202500029,45994,C1074,山东, 青岛 ,美妆,洗面奶,2.0,198.75,0.2,银行卡,已取消,和描述基本一致,2,2025-12-03,,C1074,山东,青岛,,美妆,,2.0,,198.75,,0.2,,银行卡,,已取消,,318.0
31,OD202500029,45860,C1016,广东,广州,家居,床上四件套,1.0,27.2,0.15,货到付款,已完成,性价比不错，推荐,2,2025-07-22,,C1016,广东,广州,,家居,,1.0,,27.2,,0.15,,货到付款,,已完成,,23.119999999999997
32,OD202500031,45933,C1027,北京,北京,食品类,速溶咖啡,3.0,794.16,0,银行卡,待发货,还可以,1,2025-10-03,,C1027,北京,北京,,食品,,3.0,,794.16,,0.0,,银行卡,,待发货,,2382.48
33,OD202500032,45882,C1069,广东,广州,美妆,香水,1.0,606.72,0.15,银行卡,已完成,东西很好用,1,2025-08-13,,C1069,广东,广州,,美妆,,1.0,,606.72,,0.15,,银行卡,,已完成,,515.712
34,OD202500033,45793,C1014,浙江,宁波,美妆,面膜,2.0,266.95,0,wx,已取消,和描述基本一致,1,2025-05-16,,C1014,浙江,宁波,,美妆,,2.0,,266.95,,0.0,,,支付方式无法识别,已取消,,533.9
35,OD202500034,2025/09/16,C1062,广东,广州,数码,蓝牙耳机,-1.0,748.83,0,支付宝,待发货,东西很好用,1,2025-09-16,,C1062,广东,广州,,数码,,,数量非正数,748.83,,0.0,,支付宝,,待发货,,
36,OD202500035,45984,C1033,江苏,南京,家居,抱枕,4.0,512.6,0,支付宝,完成,？？？,1,2025-11-23,,C1033,江苏,南京,,家居,,4.0,,512.6,,0.0,,支付宝,,已完成,,2050.4
37,OD202500036,45676,C1047,山东,青岛,美妆,面膜,4.0,1573.8,0.05,银行卡,已完成,发货太慢了,1,2025-01-19,,C1047,山东,青岛,,美妆,,4.0,,1573.8,,0.05,,银行卡,,已完成,,5980.44
38,OD202500037,45765,,上海,上海,数码,移动电源,4.0,875.98,0.2,微信,已取消,还可以,1,2025-04-18,,,上海,上海,客户ID缺失,数码,,4.0,,875.98,,0.2,,微信支付,,已取消,,2803.1360000000004
39,OD202500038,45748,C1052,浙江,杭州,服装,运动鞋,4.0,724.97,0.3,微信,待发货,还可以,1,2025-04-01,,C1052,浙江,杭州,,服装,,4.0,,724.97,,0.3,,微信支付,,待发货,,2029.916
40,OD202500039,46017,C1013,四川,成都,数码,智能手表,2.0,194.62,0.1,银行卡,待发货,暂时没发现问题,1,2025-12-26,,C1013,四川,成都,,数码,,2.0,,194.62,,0.1,,银行卡,,待发货,,350.31600000000003
