样本ID,文本内容,你标注的类别,不确定原因/备注,文本内容_清理后,标注类别,备注
T001,质量很好，下次还会买,,,质量很好，下次还会买,正向,正面词命中
T002,物流很快，包装完整,,,物流很快，包装完整,正向,正面词命中
T003,性价比不错，推荐,,,性价比不错，推荐,正向,正面词命中
T004,客服态度很好,,,客服态度很好,正向,正面词命中
T005,东西很好用,,,东西很好用,正向,正面词命中
T006,还可以,,,还可以,中性,弱情绪表达
T007,一般般,,,一般般,中性,弱情绪表达
T008,暂时没发现问题,,,暂时没发现问题,中性,弱情绪表达
T009,和描述基本一致,,,和描述基本一致,中性,弱情绪表达
T010,价格正常,,,价格正常,中性,弱情绪表达
T011,质量差，不推荐,,,质量差，不推荐,不确定,同时包含正负信息
T012,发货太慢了,,,发货太慢了,负向,负面词命中
T013,包装破损,,,包装破损,负向,负面词命中
T014,颜色和图片不一样,,,颜色和图片不一样,负向,负面词命中
T015,用了两天就坏了,,,用了两天就坏了,负向,负面词命中
T016,11111,,,11111,无效,无有效语义
T017,无,,,无,不确定,未命中明确规则
T018,？？？,,,？？？,无效,无有效语义
T019,评价返现,,,评价返现,无效,疑似非真实评价
T020,,,,,无效,空白
T021,包装可以但是价格偏贵,,,包装可以但是价格偏贵,负向,负面词命中
T022,物流很慢但商品还行,,,物流很慢但商品还行,中性,弱情绪表达
T023,客服处理及时，问题解决了,,,客服处理及时，问题解决了,不确定,未命中明确规则
T024,尺寸不合适，退货麻烦,,,尺寸不合适，退货麻烦,负向,负面词命中
T025,第二次购买，依然满意,,,第二次购买，依然满意,正向,正面词命中
T026,没有收到货,,,没有收到货,不确定,未命中明确规则
T027,东西一般，不算差,,,东西一般，不算差,负向,负面词命中
T028,外观好看，功能也不错,,,外观好看，功能也不错,正向,正面词命中
T029,味道怪，不会再买,,,味道怪，不会再买,不确定,未命中明确规则
T030,帮朋友买的，不清楚,,,帮朋友买的，不清楚,不确定,未命中明确规则
T031,很差很差，别买,,,很差很差，别买,负向,负面词命中
T032,还没用，先给好评,,,还没用，先给好评,不确定,未命中明确规则
T033,质量一般但能用,,,质量一般但能用,中性,弱情绪表达
T034,发错颜色了,,,发错颜色了,不确定,未命中明确规则
T035,非常满意,,,非常满意,正向,正面词命中
T036,价格便宜，包装普通,,,价格便宜，包装普通,不确定,未命中明确规则
T037,客服没有回复,,,客服没有回复,不确定,未命中明确规则
T038,送货快，东西也不错,,,送货快，东西也不错,正向,正面词命中
T039,不是我要的型号,,,不是我要的型号,不确定,未命中明确规则
T040,还可以接受,,,还可以接受,中性,弱情绪表达
T041,包装烂了但是商品没坏,,,包装烂了但是商品没坏,不确定,未命中明确规则
T042,质量远超预期,,,质量远超预期,不确定,未命中明确规则
T043,差评，完全不能用,,,差评，完全不能用,负向,负面词命中
T044,没有说明书,,,没有说明书,不确定,未命中明确规则
T045,买错了,,,买错了,不确定,未命中明确规则
T046,无语,,,无语,不确定,未命中明确规则
T047,五星好评,,,五星好评,不确定,未命中明确规则
T048,垃圾产品,,,垃圾产品,不确定,未命中明确规则
T049,正常,,,正常,中性,弱情绪表达
T050,一般,,,一般,中性,弱情绪表达
T051,外观不错，手感很好,,,外观不错，手感很好,正向,正面词命中
T052,声音有杂音,,,声音有杂音,不确定,未命中明确规则
T053,发货速度正常,,,发货速度正常,中性,弱情绪表达
T054,赠品没收到,,,赠品没收到,不确定,未命中明确规则
T055,材质很舒服,,,材质很舒服,不确定,未命中明确规则
T056,退货了,,,退货了,负向,负面词命中
T057,不评价,,,不评价,不确定,未命中明确规则
T058,挺满意的,,,挺满意的,正向,正面词命中
T059,有划痕,,,有划痕,不确定,未命中明确规则
T060,图片和实物一致,,,图片和实物一致,不确定,未命中明确规则
T061,不会安装,,,不会安装,不确定,未命中明确规则
T062,说明清楚，操作简单,,,说明清楚，操作简单,不确定,未命中明确规则
T063,太贵了,,,太贵了,不确定,未命中明确规则
T064,还没拆封,,,还没拆封,不确定,未命中明确规则
T065,朋友说不错,,,朋友说不错,正向,正面词命中
